TimeMins, TotalArrival, WaitingQueue, Rejected
0, 21.0, 0.0, 0
1, 46.0, 15.0, 0
2, 76.0, 24.0, 0
3, 106.0, 38.0, 0
4, 128.0, 52.0, 0
5, 151.0, 53.0, 0
6, 188.0, 59.0, 0
7, 201.0, 69.0, 0
8, 226.0, 69.0, 0
9, 252.0, 81.0, 0
10, 276.0, 87.0, 0
11, 302.0, 96.0, 0
12, 327.0, 111.0, 0
13, 355.0, 119.0, 0
14, 380.0, 139.0, 0
15, 401.0, 145.0, 0
16, 430.0, 161.0, 0
17, 474.0, 177.0, 0
18, 496.0, 189.0, 0
19, 512.0, 197.0, 0
20, 539.0, 206.0, 0
21, 571.0, 209.0, 0
22, 597.0, 217.0, 0
23, 625.0, 230.0, 0
24, 653.0, 241.0, 0
25, 686.0, 251.0, 0
26, 712.0, 265.0, 0
27, 738.0, 274.0, 0
28, 758.0, 286.0, 0
29, 787.0, 293.0, 0
30, 815.0, 304.0, 0
31, 842.0, 313.0, 0
32, 869.0, 324.0, 0
33, 902.0, 335.0, 0
34, 929.0, 341.0, 0
35, 947.0, 349.0, 0
36, 967.0, 370.0, 0
37, 993.0, 387.0, 0
38, 1022.0, 394.0, 0
39, 1047.0, 405.0, 0
40, 1069.0, 419.0, 0
41, 1097.0, 431.0, 0
42, 1116.0, 445.0, 0
43, 1132.0, 454.0, 0
44, 1156.0, 465.0, 0
45, 1188.0, 470.0, 0
46, 1212.0, 481.0, 0
47, 1234.0, 490.0, 0
48, 1270.0, 500.0, 0
49, 1296.0, 508.0, 0
50, 1326.0, 515.0, 0
51, 1357.0, 525.0, 0
52, 1383.0, 527.0, 0
53, 1404.0, 530.0, 0
54, 1431.0, 546.0, 0
55, 1450.0, 553.0, 0
56, 1472.0, 558.0, 0
57, 1495.0, 577.0, 0
58, 1525.0, 583.0, 0
59, 1553.0, 597.0, 0
60, 1565.0, 605.0, 0
61, 1595.0, 609.0, 0
62, 1621.0, 616.0, 0
63, 1645.0, 617.0, 0
64, 1670.0, 631.0, 0
65, 1691.0, 635.0, 0
66, 1715.0, 648.0, 0
67, 1740.0, 655.0, 0
68, 1765.0, 667.0, 0
69, 1797.0, 687.0, 0
70, 1817.0, 694.0, 0
71, 1858.0, 719.0, 0
72, 1877.0, 724.0, 0
73, 1894.0, 734.0, 0
74, 1915.0, 751.0, 0
75, 1936.0, 766.0, 0
76, 1960.0, 778.0, 0
77, 1989.0, 786.0, 2
78, 2031.0, 786.0, 18
79, 2068.0, 786.0, 32
80, 2100.0, 786.0, 38
81, 2139.0, 786.0, 56
82, 2177.0, 786.0, 68
83, 2204.0, 786.0, 77
84, 2244.0, 786.0, 91
