TimeMins, TotalArrival, WaitingQueue, Rejected
0, 11.0, 0.0, 0
1, 26.0, 0.0, 0
2, 21.0, 0.0, 0
3, 29.0, 0.0, 0
4, 26.0, 0.0, 0
5, 25.0, 0.0, 0
6, 23.0, 0.0, 0
7, 31.0, 0.0, 0
8, 30.0, 0.0, 0
9, 28.0, 0.0, 0
10, 20.0, 0.0, 0
11, 30.0, 0.0, 0
12, 28.0, 0.0, 0
13, 25.0, 0.0, 0
14, 22.0, 0.0, 0
15, 15.0, 0.0, 0
16, 18.0, 0.0, 0
17, 23.0, 0.0, 0
18, 20.0, 0.0, 0
19, 20.0, 0.0, 0
20, 37.0, 0.0, 0
21, 24.0, 0.0, 0
22, 19.0, 0.0, 0
23, 13.0, 0.0, 0
24, 14.0, 0.0, 0
25, 23.0, 0.0, 0
26, 25.0, 0.0, 0
27, 26.0, 0.0, 0
28, 26.0, 0.0, 0
29, 26.0, 0.0, 0
30, 20.0, 0.0, 0
31, 27.0, 0.0, 0
32, 24.0, 0.0, 0
33, 23.0, 0.0, 0
34, 17.0, 0.0, 0
35, 26.0, 0.0, 0
36, 29.0, 0.0, 0
37, 29.0, 0.0, 0
38, 25.0, 0.0, 0
39, 22.0, 0.0, 0
40, 31.0, 0.0, 0
41, 28.0, 0.0, 0
42, 34.0, 0.0, 0
43, 32.0, 0.0, 0
44, 25.0, 0.0, 0
45, 20.0, 0.0, 0
46, 24.0, 0.0, 0
47, 21.0, 0.0, 0
48, 30.0, 0.0, 0
49, 21.0, 0.0, 0
50, 29.0, 0.0, 0
51, 30.0, 0.0, 0
52, 40.0, 0.0, 0
53, 44.0, 2.0, 0
54, 26.0, 0.0, 0
55, 23.0, 0.0, 0
56, 22.0, 0.0, 0
57, 22.0, 0.0, 0
58, 30.0, 0.0, 0
59, 16.0, 0.0, 0
60, 23.0, 0.0, 0
61, 19.0, 0.0, 0
62, 27.0, 0.0, 0
63, 17.0, 0.0, 0
64, 14.0, 0.0, 0
65, 32.0, 0.0, 0
66, 22.0, 0.0, 0
67, 22.0, 0.0, 0
68, 26.0, 0.0, 0
69, 27.0, 0.0, 0
70, 30.0, 0.0, 0
71, 28.0, 0.0, 0
72, 25.0, 0.0, 0
73, 21.0, 0.0, 0
74, 28.0, 0.0, 0
75, 24.0, 0.0, 0
76, 24.0, 0.0, 0
77, 33.0, 0.0, 0
78, 28.0, 0.0, 0
79, 19.0, 0.0, 0
80, 26.0, 0.0, 0
81, 23.0, 0.0, 0
82, 28.0, 0.0, 0
83, 26.0, 0.0, 0
84, 26.0, 0.0, 0
85, 23.0, 0.0, 0
86, 20.0, 0.0, 0
87, 21.0, 0.0, 0
88, 24.0, 0.0, 0
89, 29.0, 0.0, 0
90, 25.0, 0.0, 0
91, 37.0, 0.0, 0
92, 28.0, 0.0, 0
93, 23.0, 0.0, 0
94, 20.0, 0.0, 0
95, 27.0, 0.0, 0
96, 25.0, 0.0, 0
97, 18.0, 0.0, 0
98, 27.0, 0.0, 0
99, 25.0, 0.0, 0
100, 20.0, 0.0, 0
101, 33.0, 0.0, 0
102, 20.0, 0.0, 0
103, 32.0, 0.0, 0
104, 27.0, 0.0, 0
105, 22.0, 0.0, 0
106, 24.0, 0.0, 0
107, 18.0, 0.0, 0
108, 35.0, 0.0, 0
109, 27.0, 0.0, 0
110, 20.0, 0.0, 0
111, 31.0, 0.0, 0
112, 30.0, 0.0, 0
113, 26.0, 0.0, 0
114, 21.0, 0.0, 0
115, 20.0, 0.0, 0
116, 29.0, 0.0, 0
117, 25.0, 0.0, 0
118, 20.0, 0.0, 0
119, 25.0, 0.0, 0
120, 49.0, 7.0, 0
121, 43.0, 8.0, 0
122, 41.0, 7.0, 0
123, 46.0, 11.0, 0
124, 48.0, 17.0, 0
125, 50.0, 25.0, 0
126, 49.0, 32.0, 0
127, 44.0, 34.0, 0
128, 37.0, 29.0, 0
129, 43.0, 30.0, 0
130, 52.0, 40.0, 0
131, 33.0, 31.0, 0
132, 45.0, 34.0, 0
133, 48.0, 40.0, 0
134, 44.0, 42.0, 0
135, 37.0, 37.0, 0
136, 56.0, 51.0, 0
137, 55.0, 64.0, 0
138, 46.0, 68.0, 0
139, 42.0, 68.0, 0
140, 44.0, 70.0, 0
141, 43.0, 71.0, 0
142, 52.0, 81.0, 0
143, 42.0, 81.0, 0
144, 44.0, 83.0, 0
145, 41.0, 82.0, 0
146, 60.0, 100.0, 0
147, 41.0, 99.0, 0
148, 49.0, 106.0, 0
149, 46.0, 110.0, 0
150, 39.0, 107.0, 0
151, 50.0, 115.0, 0
152, 52.0, 125.0, 0
153, 43.0, 126.0, 0
154, 45.0, 129.0, 0
155, 53.0, 140.0, 0
156, 33.0, 131.0, 0
157, 63.0, 152.0, 0
158, 46.0, 156.0, 0
159, 34.0, 148.0, 0
160, 45.0, 151.0, 0
161, 39.0, 148.0, 0
162, 52.0, 158.0, 0
163, 47.0, 163.0, 0
164, 48.0, 169.0, 0
165, 39.0, 166.0, 0
166, 52.0, 176.0, 0
167, 37.0, 171.0, 0
168, 37.0, 166.0, 0
169, 49.0, 173.0, 0
170, 42.0, 173.0, 0
171, 56.0, 187.0, 0
172, 41.0, 186.0, 0
173, 42.0, 186.0, 0
174, 38.0, 182.0, 0
175, 49.0, 189.0, 0
176, 52.0, 199.0, 0
177, 49.0, 206.0, 0
178, 47.0, 211.0, 0
179, 49.0, 218.0, 0
180, 40.0, 216.0, 0
181, 38.0, 212.0, 0
182, 27.0, 197.0, 0
183, 35.0, 190.0, 0
184, 51.0, 199.0, 0
185, 52.0, 209.0, 0
186, 40.0, 207.0, 0
187, 37.0, 202.0, 0
188, 46.0, 206.0, 0
189, 31.0, 195.0, 0
190, 37.0, 190.0, 0
191, 44.0, 192.0, 0
192, 49.0, 199.0, 0
193, 48.0, 205.0, 0
194, 46.0, 209.0, 0
195, 35.0, 202.0, 0
196, 44.0, 204.0, 0
197, 39.0, 201.0, 0
198, 48.0, 207.0, 0
199, 41.0, 206.0, 0
200, 44.0, 208.0, 0
201, 40.0, 206.0, 0
202, 46.0, 210.0, 0
203, 45.0, 213.0, 0
204, 47.0, 218.0, 0
205, 38.0, 214.0, 0
206, 45.0, 217.0, 0
207, 57.0, 232.0, 0
208, 48.0, 238.0, 0
209, 55.0, 251.0, 0
210, 39.0, 248.0, 0
211, 42.0, 248.0, 0
212, 39.0, 245.0, 0
213, 63.0, 266.0, 0
214, 44.0, 268.0, 0
215, 65.0, 291.0, 0
216, 36.0, 285.0, 0
217, 47.0, 290.0, 0
218, 36.0, 284.0, 0
219, 44.0, 286.0, 0
220, 55.0, 299.0, 0
221, 34.0, 291.0, 0
